feature,feature_group,target,baseline_mae,permuted_mae,delta_mae,relative_delta
altitude_x_abs_lat_norm,altitude,wind_u,1.8371793031692505,5.157415390014648,3.320236086845398,1.8072466204674638
altitude_x_abs_lat_norm,altitude,wind_v,1.7341810464859009,3.28084659576416,1.5466655492782593,0.8918708645861295
day_of_year_norm,day_of_year,temperature_k,1.1241883039474487,2.6661360263824463,1.5419477224349976,1.3716098246358177
day_of_year_norm,day_of_year,pressure_pa,497.37060546875,586.6035766601562,89.23297119140625,0.17940941867143131
day_of_year_norm,day_of_year,wind_u,1.8371793031692505,7.245260238647461,5.4080809354782104,2.943687056646528
day_of_year_norm,day_of_year,wind_v,1.7341810464859009,6.776795387268066,5.0426143407821655,2.907778487719254
utc_hour_norm,time_of_day,temperature_k,1.1241883039474487,1.2678568363189697,0.143668532371521,0.127797569025622
utc_hour_norm,time_of_day,pressure_pa,497.37060546875,503.7890930175781,6.418487548828125,0.012904838923440161
utc_hour_norm,time_of_day,wind_u,1.8371793031692505,2.5452983379364014,0.7081190347671509,0.3854381733702316
utc_hour_norm,time_of_day,wind_v,1.7341810464859009,2.733333110809326,0.9991520643234253,0.5761521072716606
local_solar_hour_norm,time_of_day,temperature_k,1.1241883039474487,1.125001311302185,0.0008130073547363281,0.0007231949948968095
local_solar_hour_norm,time_of_day,pressure_pa,497.37060546875,499.48858642578125,2.11798095703125,0.004258355708486523
local_solar_hour_norm,time_of_day,wind_u,1.8371793031692505,1.8400027751922607,0.002823472023010254,0.001536851638889893
local_solar_hour_norm,time_of_day,wind_v,1.7341810464859009,1.7363507747650146,0.0021697282791137695,0.0012511544186868207
utc_sin_1,time_of_day,temperature_k,1.1241883039474487,1.142744541168213,0.01855623722076416,0.0165063425367496
utc_sin_1,time_of_day,pressure_pa,497.37060546875,514.0083618164062,16.63775634765625,0.03345142669212607
utc_sin_1,time_of_day,wind_u,1.8371793031692505,1.9062334299087524,0.06905412673950195,0.03758703716092339
utc_sin_1,time_of_day,wind_v,1.7341810464859009,1.823163628578186,0.08898258209228516,0.051311010619448955
utc_cos_1,time_of_day,temperature_k,1.1241883039474487,1.1487730741500854,0.02458477020263672,0.021868907652134725
utc_cos_1,time_of_day,pressure_pa,497.37060546875,514.5394287109375,17.1688232421875,0.03451917554718908
utc_cos_1,time_of_day,wind_u,1.8371793031692505,1.9100488424301147,0.07286953926086426,0.03966381459619085
utc_cos_1,time_of_day,wind_v,1.7341810464859009,1.8304446935653687,0.09626364707946777,0.055509571664696666
utc_sin_2,time_of_day,temperature_k,1.1241883039474487,1.1253303289413452,0.0011420249938964844,0.0010158662831541694
utc_sin_2,time_of_day,pressure_pa,497.37060546875,500.7320861816406,3.361480712890625,0.006758502967264374
utc_sin_2,time_of_day,wind_u,1.8371793031692505,1.8424193859100342,0.005240082740783691,0.0028522435081563447
utc_sin_2,time_of_day,wind_v,1.7341810464859009,1.7404870986938477,0.006306052207946777,0.003636328640960064
utc_cos_2,time_of_day,temperature_k,1.1241883039474487,1.1256792545318604,0.001490950584411621,0.001326246305157536
utc_cos_2,time_of_day,pressure_pa,497.37060546875,498.1466064453125,0.7760009765625,0.0015602067513241019
utc_cos_2,time_of_day,wind_u,1.8371793031692505,1.8422175645828247,0.005038261413574219,0.0027423895995795835
utc_cos_2,time_of_day,wind_v,1.7341810464859009,1.7365902662277222,0.002409219741821289,0.0013892550300346489
solar_sin_1,time_of_day,temperature_k,1.1241883039474487,1.1630357503890991,0.03884744644165039,0.03455599591744761
solar_sin_1,time_of_day,pressure_pa,497.37060546875,518.68603515625,21.3154296875,0.042856231255184736
solar_sin_1,time_of_day,wind_u,1.8371793031692505,1.940033197402954,0.10285389423370361,0.05598467937031194
solar_sin_1,time_of_day,wind_v,1.7341810464859009,1.8771984577178955,0.14301741123199463,0.08246971186878173
solar_cos_1,time_of_day,temperature_k,1.1241883039474487,1.1542571783065796,0.03006887435913086,0.026747186617711385
solar_cos_1,time_of_day,pressure_pa,497.37060546875,523.0206298828125,25.6500244140625,0.05157125115966288
solar_cos_1,time_of_day,wind_u,1.8371793031692505,1.927894949913025,0.09071564674377441,0.04937767728347701
solar_cos_1,time_of_day,wind_v,1.7341810464859009,1.8966352939605713,0.1624542474746704,0.0936777897578015
solar_sin_2,time_of_day,temperature_k,1.1241883039474487,1.129908800125122,0.00572049617767334,0.0050885569237702636
solar_sin_2,time_of_day,pressure_pa,497.37060546875,500.82489013671875,3.45428466796875,0.006945092110365546
solar_sin_2,time_of_day,wind_u,1.8371793031692505,1.856207013130188,0.0190277099609375,0.010357023905131903
solar_sin_2,time_of_day,wind_v,1.7341810464859009,1.7444472312927246,0.01026618480682373,0.005919903707647399
solar_cos_2,time_of_day,temperature_k,1.1241883039474487,1.1280120611190796,0.0038237571716308594,0.003401349363095317
solar_cos_2,time_of_day,pressure_pa,497.37060546875,500.6784973144531,3.307891845703125,0.006650758628137226
solar_cos_2,time_of_day,wind_u,1.8371793031692505,1.8454461097717285,0.008266806602478027,0.004499727701165184
solar_cos_2,time_of_day,wind_v,1.7341810464859009,1.7546652555465698,0.020484209060668945,0.011812036062888364
lat_sin_1,location,temperature_k,1.1241883039474487,1.3330345153808594,0.20884621143341064,0.18577511498747398
lat_sin_1,location,pressure_pa,497.37060546875,677.1265869140625,179.7559814453125,0.3614125552833995
lat_sin_1,location,wind_u,1.8371793031692505,2.4672508239746094,0.6300715208053589,0.342955921459841
lat_sin_1,location,wind_v,1.7341810464859009,2.214568614959717,0.4803875684738159,0.2770111975605204
lat_cos_1,location,temperature_k,1.1241883039474487,3.4323203563690186,2.30813205242157,2.0531543019233065
lat_cos_1,location,pressure_pa,497.37060546875,856.182373046875,358.811767578125,0.72141731665055
lat_cos_1,location,wind_u,1.8371793031692505,6.6584343910217285,4.821255087852478,2.6242703036853876
lat_cos_1,location,wind_v,1.7341810464859009,4.256217002868652,2.5220359563827515,1.454309491787688
lon_sin_1,location,temperature_k,1.1241883039474487,1.4579750299453735,0.3337867259979248,0.2969135373725859
lon_sin_1,location,pressure_pa,497.37060546875,748.0833740234375,250.7127685546875,0.5040763684021932
lon_sin_1,location,wind_u,1.8371793031692505,2.6221022605895996,0.7849229574203491,0.4272435227559484
