epoch,loss,pressure_pa_loss,pressure_pa_mae,pressure_pa_rmse,temperature_k_loss,temperature_k_mae,temperature_k_rmse,val_loss,val_pressure_pa_loss,val_pressure_pa_mae,val_pressure_pa_rmse,val_temperature_k_loss,val_temperature_k_mae,val_temperature_k_rmse,val_wind_u_loss,val_wind_u_mae,val_wind_u_rmse,val_wind_v_loss,val_wind_v_mae,val_wind_v_rmse,wind_u_loss,wind_u_mae,wind_u_rmse,wind_v_loss,wind_v_mae,wind_v_rmse
35,0.11315274238586426,0.0004908689297735691,0.024101827293634415,0.031329866498708725,0.002003213856369257,0.04809758812189102,0.06329991668462753,0.13403218984603882,0.00034830451477319,0.020185932517051697,0.026370184496045113,0.0017461739480495453,0.04417629539966583,0.05906473100185394,0.020751016214489937,0.15002474188804626,0.20902635157108307,0.06794314086437225,0.29048117995262146,0.42190468311309814,0.018515966832637787,0.14237329363822937,0.19670788943767548,0.05608224496245384,0.25969260931015015,0.3751622140407562
36,0.1118793860077858,0.0004867558600381017,0.023993276059627533,0.03119952417910099,0.001984223024919629,0.04786382615566254,0.06299970299005508,0.13159297406673431,0.00035264939651824534,0.020319603383541107,0.026539171114563942,0.0017411892767995596,0.0441087931394577,0.058981068432331085,0.020463578402996063,0.1491987258195877,0.20722462236881256,0.06659429520368576,0.2872473895549774,0.4154053032398224,0.018325528129935265,0.14164122939109802,0.19561944901943207,0.055431708693504333,0.2579648494720459,0.3724609315395355
37,0.11067637801170349,0.0004831663682125509,0.023904431611299515,0.03108425810933113,0.001972996396943927,0.04772888496518135,0.062821164727211,0.13044743239879608,0.0003625263925641775,0.020415203645825386,0.02690195105969906,0.0017262781038880348,0.043827399611473083,0.058725591748952866,0.020265227183699608,0.14853492379188538,0.2060679942369461,0.06602257490158081,0.2859487533569336,0.412421852350235,0.018163049593567848,0.14105388522148132,0.19469109177589417,0.05479653179645538,0.2562912106513977,0.36986732482910156
38,0.10974282771348953,0.00047694784007035196,0.023757634684443474,0.03088395856320858,0.0019590789452195168,0.04756937548518181,0.06259945034980774,0.12960834801197052,0.00034076609881594777,0.019983911886811256,0.026089243590831757,0.001711710705421865,0.0437515452504158,0.058474842458963394,0.02016807161271572,0.14825645089149475,0.20560069382190704,0.06558027118444443,0.2849367558956146,0.4106109142303467,0.018042124807834625,0.14062531292438507,0.19397343695163727,0.054302096366882324,0.2549525499343872,0.36773279309272766
39,0.10857494175434113,0.0004735952243208885,0.02367730438709259,0.030775805935263634,0.0019472385756671429,0.04742298275232315,0.062409766018390656,0.1295439451932907,0.0003417069965507835,0.019796280190348625,0.026127468794584274,0.0017118817195296288,0.043743886053562164,0.05848433077335358,0.020173538476228714,0.148281067609787,0.2056282013654709,0.0655192881822586,0.28475716710090637,0.4102528989315033,0.017884576693177223,0.14007128775119781,0.193044513463974,0.053686223924160004,0.253324031829834,0.3651401102542877
40,0.10783914476633072,0.0004701023281086236,0.023594478145241737,0.03066287934780121,0.001935104955919087,0.04728138446807861,0.06221477687358856,0.12917527556419373,0.000334928190568462,0.019644122570753098,0.025865526869893074,0.001731828204356134,0.043988414108753204,0.05882035568356514,0.020501112565398216,0.149545818567276,0.20742055773735046,0.06494977325201035,0.28333139419555664,0.4081513285636902,0.017827283591032028,0.13989809155464172,0.19269731640815735,0.05325741320848465,0.25218385457992554,0.36339205503463745
41,0.10704204440116882,0.00046543870121240616,0.023476455360651016,0.030510976910591125,0.001926981727592647,0.04717069864273071,0.06208406761288643,0.12834995985031128,0.00031988578848540783,0.019177904352545738,0.025272581726312637,0.0017297732410952449,0.043958116322755814,0.05878235027194023,0.020305341109633446,0.1488034874200821,0.2064170390367508,0.06460549682378769,0.2824482321739197,0.4065406620502472,0.017753560096025467,0.13964205980300903,0.19226184487342834,0.05280369520187378,0.2509382665157318,0.3616192936897278
42,0.10588826984167099,0.0004615698126144707,0.023385552689433098,0.030384333804249763,0.001916224486194551,0.04703651741147041,0.06190991774201393,0.12586641311645508,0.0003312246117275208,0.019542738795280457,0.02572220377624035,0.0017352527938783169,0.0441092774271965,0.05888016149401665,0.01996845193207264,0.14759358763694763,0.20452579855918884,0.06327521055936813,0.27920982241630554,0.40060216188430786,0.0175392497330904,0.13879141211509705,0.19102688133716583,0.052253786474466324,0.24945154786109924,0.3593097925186157
43,0.10466887056827545,0.0004576552892103791,0.02328544855117798,0.030254928395152092,0.001904663280583918,0.04688742011785507,0.0617230050265789,0.12391916662454605,0.0003163416404277086,0.019050944596529007,0.025139033794403076,0.001717815874144435,0.04381870850920677,0.05858879163861275,0.019768517464399338,0.14687173068523407,0.20342445373535156,0.06219020485877991,0.27649804949760437,0.39593395590782166,0.017343293875455856,0.13802053034305573,0.18987447023391724,0.05164152756333351,0.24783176183700562,0.35671737790107727
44,0.10369516164064407,0.0004545827687252313,0.023212851956486702,0.03015378676354885,0.0018966131610795856,0.046796731650829315,0.061593279242515564,0.12325377017259598,0.00029636258841492236,0.018493032082915306,0.02432415820658207,0.0016908606048673391,0.04347165301442146,0.058123879134655,0.01958310417830944,0.14610306918621063,0.20246170461177826,0.06194508820772171,0.2758105993270874,0.3951926529407501,0.017202766612172127,0.13747738301753998,0.18905127048492432,0.05113651975989342,0.24646148085594177,0.3546309471130371
